Sulfur dioxide,Carbon monoxide,Ozone,PM10,Nitrogen oxides,Nitric Oxide,Nitrogen dioxide,Total Hydrocarbon,Non-hydrocarbon,Wind Speed,Wind Direction,Ambient temperature,Rainfall,Methane,PM2.5,Relative humidity,Hourly Wind speed Vectors,Hourly Wind Direction Vectors
0.9,0.16,45.5,14.0,4.4,0.5,3.9,1.91,0.0,5.3,30.0,23.9,0.0,1.92,3.0,84.0,4.4,30.0
1.0,0.16,48.4,9.0,4.3,0.5,3.7,1.91,0.0,4.5,26.0,23.9,0.0,1.92,11.0,85.0,4.2,29.0
0.3,0.16,51.3,4.0,3.8,0.6,3.2,1.91,0.0,4.9,30.0,23.8,0.0,1.92,6.0,87.0,4.6,33.0
0.4,0.17,51.6,3.0,3.4,0.5,2.8,1.92,0.0,4.4,22.0,23.8,0.0,1.93,3.0,89.0,3.9,29.0
0.4,0.17,50.9,6.0,3.4,0.6,2.8,1.92,0.0,3.9,32.0,24.0,0.0,1.93,1.0,89.0,3.8,30.0
0.4,0.17,50.3,8.0,3.6,0.6,2.9,1.92,0.0,3.6,33.0,24.0,0.5,1.92,0.0,89.0,3.4,30.0
0.4,0.17,50.4,6.0,3.5,0.6,2.9,1.92,0.0,3.2,38.0,24.1,1.0,1.93,1.0,90.0,3.0,35.0
0.3,0.19,47.2,3.0,4.0,0.5,3.5,1.94,0.0,2.9,35.0,24.2,0.0,1.94,2.0,91.0,2.7,33.0
0.4,0.24,43.9,0.0,6.1,0.7,5.4,1.97,0.03,2.5,31.0,24.3,0.5,1.94,2.0,91.0,2.3,38.0
0.3,0.24,41.6,6.0,7.8,0.8,7.0,1.98,0.04,3.4,32.0,24.6,0.0,1.94,3.0,90.0,2.7,31.0
0.3,0.2,42.8,9.0,6.8,0.8,5.9,1.97,0.04,4.0,36.0,24.5,0.0,1.93,3.0,89.0,3.4,34.0
0.6,0.2,44.1,8.0,6.6,0.9,5.6,1.98,0.05,4.5,33.0,24.6,0.0,1.93,3.0,88.0,3.8,33.0
0.5,0.19,45.0,14.0,6.5,0.9,5.6,1.97,0.04,3.4,40.0,25.0,0.0,1.93,3.0,87.0,3.5,35.0
0.4,0.2,44.1,18.0,6.1,0.9,5.2,1.97,0.03,3.7,34.0,25.5,0.0,1.94,2.0,87.0,2.8,34.0
0.5,0.19,42.6,12.0,6.7,1.0,5.7,1.98,0.05,4.0,32.0,25.5,0.0,1.93,5.0,87.0,3.5,35.0
0.5,0.19,42.1,10.0,7.1,0.8,6.3,1.99,0.05,4.2,44.0,25.3,0.0,1.94,3.0,86.0,3.4,33.0
0.4,0.19,42.8,10.0,6.8,0.8,6.0,2.0,0.06,3.7,43.0,25.1,0.0,1.94,1.0,87.0,3.0,35.0
0.6,0.21,41.9,14.0,7.2,0.7,6.4,2.0,0.05,2.9,29.0,24.9,0.0,1.95,4.0,87.0,3.0,34.0
0.3,0.25,39.4,18.0,8.6,0.7,7.9,2.0,0.05,3.3,42.0,24.7,0.0,1.95,6.0,89.0,2.1,35.0
0.3,0.24,40.9,9.0,8.0,0.7,7.3,2.02,0.07,2.6,27.0,24.6,0.5,1.96,4.0,90.0,2.0,34.0
0.4,0.22,39.8,10.0,7.5,0.7,6.7,2.02,0.06,2.7,45.0,24.5,0.5,1.96,4.0,91.0,2.2,37.0
0.3,0.21,38.7,11.0,7.6,0.6,6.9,1.98,0.03,2.1,44.0,24.6,0.0,1.95,2.0,90.0,2.1,49.0
0.3,0.23,37.0,7.0,9.1,0.5,8.6,2.02,0.06,1.8,33.0,24.5,0.0,1.96,0.0,92.0,1.7,37.0
0.4,0.19,42.3,8.0,6.0,0.4,5.6,1.98,0.04,2.0,29.0,24.4,0.5,1.94,0.0,92.0,1.9,35.0
0.3,0.17,41.2,12.0,4.8,0.4,4.3,2.0,0.03,1.0,44.0,24.5,0.0,1.97,2.0,93.0,1.3,34.0
0.1,0.18,39.3,13.0,5.4,0.5,4.8,1.98,0.02,0.3,314.0,24.7,0.0,1.96,1.0,93.0,0.2,294.0
0.8,0.2,38.0,17.0,5.3,0.5,4.8,2.02,0.02,0.7,155.0,24.9,0.0,2.0,0.0,93.0,0.4,131.0
0.7,0.21,28.8,15.0,6.2,0.4,5.8,2.14,0.04,1.3,164.0,24.9,0.0,2.1,0.0,94.0,0.7,172.0
0.6,0.19,22.9,8.0,6.7,0.1,6.5,2.06,0.03,0.8,163.0,24.7,0.5,2.02,0.0,95.0,0.4,129.0
0.7,0.19,19.1,4.0,7.4,0.3,7.1,2.1,0.04,0.5,136.0,24.7,0.0,2.06,1.0,96.0,0.3,164.0
0.7,0.24,18.5,12.0,9.4,0.3,9.1,2.29,0.09,0.3,152.0,24.9,0.0,2.21,3.0,95.0,0.3,159.0
0.9,0.28,11.0,16.0,14.8,1.6,13.1,2.2,0.08,1.1,162.0,25.0,0.0,2.12,5.0,95.0,0.7,155.0
0.9,0.34,11.7,19.0,16.9,3.3,13.6,2.1,0.07,1.3,150.0,25.4,0.0,2.02,5.0,93.0,1.1,156.0
1.0,0.32,15.2,16.0,16.0,3.4,12.6,2.06,0.06,0.8,98.0,26.1,0.0,2.0,7.0,91.0,0.3,67.0
